ID,Year,Activity,Fuel,Type,Unit,kg CO2e,kg CO2,kg CH4,kg N2O
53,2020,Cars (by size),Plug-in Hybrid Electric Vehicle,Large car,km,0.10515,0.10444,0.00032,0.00039
54,2020,Cars (by size),Plug-in Hybrid Electric Vehicle,Large car,miles,0.16923,0.16808,0.00052,0.00063
55,2020,Cars (by size),Plug-in Hybrid Electric Vehicle,Average car,km,0.09712,0.09646,0.00030,0.00036
56,2020,Cars (by size),Plug-in Hybrid Electric Vehicle,Average car,miles,0.15630,0.15524,0.00048,0.00058
57,2020,Cars (by size),Battery Electric Vehicle,Small car,km,0.04637,0.04595,0.00014,0.00028
58,2020,Cars (by size),Battery Electric Vehicle,Small car,miles,0.07462,0.07395,0.00023,0.00044
59,2020,Cars (by size),Battery Electric Vehicle,Medium car,km,0.05563,0.05513,0.00017,0.00033
60,2020,Cars (by size),Battery Electric Vehicle,Medium car,miles,0.08954,0.08873,0.00028,0.00053
61,2020,Cars (by size),Battery Electric Vehicle,Large car,km,0.06646,0.06587,0.00020,0.00039
62,2020,Cars (by size),Battery Electric Vehicle,Large car,miles,0.10698,0.10601,0.00033,0.00064
63,2020,Cars (by size),Battery Electric Vehicle,Average car,km,0.05728,0.05676,0.00018,0.00034
64,2020,Cars (by size),Battery Electric Vehicle,Average car,miles,0.09218,0.09135,0.00028,0.00055
